day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
7,2014,9,28,28/09/2014,73.1,57.4,1020.2,9.8,0.9,5.1,999.9,84,60.1,0,999.9,0,433820
6,2014,9,13,13/09/2014,63.9,52.7,1021.4,8.6,5.2,8.9,999.9,78.1,60.1,0,999.9,0,513501
5,2014,9,12,12/09/2014,70.1,52.7,1017.2,10,4.2,7,15,82.9,62.1,0,999.9,0,486929
1,2014,9,15,15/09/2014,62.8,43.4,1022.2,10,2.5,7,999.9,71.1,53.1,0,999.9,0,421980
7,2014,9,14,14/09/2014,60.9,48.3,1022.9,9.4,2.8,8,14,71.1,53.1,0.26,999.9,0,450849
7,2014,10,5,05/10/2014,53.1,34.7,1009,10,5.7,12,20,69.1,46,1.04,999.9,0,416216
1,2014,10,6,06/10/2014,58.6,42.1,1016.8,10,3,8,21,69.1,46,0,999.9,0,409584
7,2014,10,12,12/10/2014,54,41.1,1023.6,9.9,2.1,5.1,15.9,63,48,0.19,999.9,0,437673
1,2014,10,13,13/10/2014,58.7,47.7,1026.4,9.4,2,5.1,999.9,64.9,48,0,999.9,0,389171
4,2014,10,30,30/10/2014,52.5,40.3,1014.8,9.9,3.6,8,999.9,72,48,0,999.9,0,469494
1,2014,10,27,27/10/2014,56,35.6,1013.5,10,5.4,8.9,19,63,48,0,999.9,0,411856
2,2014,10,28,28/10/2014,60.6,44,1015.9,10,2.3,6,999.9,72,48,0,999.9,0,434802
4,2014,10,23,23/10/2014,51.4,46.9,1006.3,7.1,7.3,13,22.9,57.9,50,1.23,999.9,0,471818
7,2014,10,26,26/10/2014,58.4,38.6,1003.3,9.9,6.8,11.1,26,66.9,50,0.01,999.9,0,441193
2,2014,10,7,07/10/2014,66.2,52.6,1016.8,10,3.9,9.9,17.1,71.1,50,0,999.9,0,436891
6,2014,10,25,25/10/2014,58.1,39.2,1008.8,10,4.3,9.9,17.1,66.9,50,0,999.9,0,500873
5,2014,10,24,24/10/2014,54.7,43.3,1008.7,10,4,6,999.9,63,50,0.39,999.9,0,492064
2,2014,10,14,14/10/2014,67.9,61.3,1022.6,7.9,3.7,8,15.9,75.9,52,0.05,999.9,0,431529
5,2014,10,10,10/10/2014,58.7,37,1018.6,10,2.6,7,999.9,68,52,0,999.9,0,489982
4,2014,10,16,16/10/2014,68.8,63.8,1007.1,5.2,3.4,8.9,17.1,77,64,1.68,999.9,1,481635
5,2014,10,31,31/10/2014,49.9,34.8,1015.1,10,4.3,8,15,59,45,0,999.9,0,494320
4,2014,10,9,09/10/2014,62.6,37.8,1015.1,10,5.2,9.9,24.1,73,55,0.04,999.9,0,477361
6,2014,10,18,18/10/2014,63.8,50.3,1003.1,10,4.7,9.9,19,71.1,59,0,999.9,0,513702
5,2014,10,17,17/10/2014,64.6,51.4,1005.6,9.7,4,7,20,71.1,59,0.12,999.9,0,492494
4,2014,10,2,02/10/2014,63.5,54.1,1019.6,9.8,4.8,8.9,15.9,70,61,0.02,999.9,0,467301
3,2014,10,15,15/10/2014,71.4,64.8,1017.1,9,4.4,8,22,77,63,0,999.9,0,456636
3,2014,10,8,08/10/2014,66.7,53,1010.9,9.5,5.4,8.9,22.9,72,63,0.1,999.9,0,456070
7,2014,10,19,19/10/2014,53.4,34.4,1010.4,10,7.2,11.1,24.1,61,46.9,0,999.9,0,461858
5,2014,10,3,03/10/2014,62.9,50.7,1018.1,10,3.6,7,14,71.1,55.9,0,999.9,0,485297
3,2014,10,1,01/10/2014,63.2,57.1,1016.5,8.4,5.2,8,999.9,64.9,60.8,0,999.9,0,458010
3,2014,10,22,22/10/2014,55.5,51.2,1012,7.1,6.8,13,22,60.8,51.8,0.61,999.9,0,461722
2,2014,10,21,21/10/2014,60.2,46.2,1012.4,10,2.7,7,15,66.9,42.1,0,999.9,0,445571
1,2014,10,20,20/10/2014,49.4,30.9,1017.8,9.8,4,7,999.9,60.1,42.1,0,999.9,0,416422
6,2014,10,4,04/10/2014,64.2,57.1,1004.8,7.3,5.3,12,21,69.1,60.1,0.14,999.9,1,467371
6,2014,10,11,11/10/2014,54.9,46.5,1018.5,7.8,3.7,8,15,64,51.1,0.14,999.9,0,509530
3,2014,10,29,29/10/2014,64.5,52.4,1011.9,9.3,3.9,8,999.9,72,53.1,0,999.9,0,454041
2,2014,11,18,18/11/2014,35.4,16.3,1008.3,9.9,8.5,15.9,27,52,27,1.08,999.9,0,456387
6,2014,11,29,29/11/2014,31.4,12.7,1026.1,10,3.1,7,999.9,37,27,0,999.9,0,395378
7,2014,11,30,30/11/2014,47.5,30.7,1021.2,10,3.3,7,999.9,54,27,0,999.9,0,370177
6,2014,11,22,22/11/2014,34.3,11.1,1029.9,10,3.7,8,15.9,44.1,28,0,999.9,0,516116
5,2014,11,21,21/11/2014,32.3,8.1,1022.2,10,7.5,11.1,20,45,28,0,999.9,0,495376
7,2014,11,23,23/11/2014,47.4,22.2,1021.7,10,4,9.9,20,57,28,0,999.9,0,425989
3,2014,11,26,26/11/2014,42.9,30.4,1018.5,6.4,6.6,15.9,28.9,52,34,0.01,999.9,0,425449
4,2014,11,27,27/11/2014,36.3,30.3,1013.5,8.6,4.5,8.9,14,51.1,34,1.23,999.9,0,296309
7,2014,11,9,09/11/2014,50,32,1013.4,10,3.6,8,18.1,57,36,0,999.9,0,445908
6,2014,11,8,08/11/2014,41.9,24.7,1014.5,10,5.3,8.9,24.1,53.1,36,0,999.9,0,515675
4,2014,11,6,06/11/2014,52,42.2,1016.9,5.9,2.6,7,999.9,64,48,0.12,999.9,0,470232
2,2014,11,25,25/11/2014,60,40.4,1011.9,10,4.3,8.9,17.1,66.9,52,0.02,999.9,0,409243
1,2014,11,3,03/11/2014,47.6,22.7,1018.6,10,6,11.1,24.1,61,39,0,999.9,0,412503
